Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
Cincinnati Financial Corporation,CINF,United States,Insurance - Property & Casualty,2022,6563000000.0,USD,-487000000.0,29732000000.0,2052000000.0
"Cisco Systems, Inc.",CSCO,United States,Communication Equipment,2025,56654000000.0,USD,10180000000.0,122291000000.0,14193000000.0
"Cisco Systems, Inc.",CSCO,United States,Communication Equipment,2024,53803000000.0,USD,10320000000.0,124413000000.0,10880000000.0
"Cisco Systems, Inc.",CSCO,United States,Communication Equipment,2023,56998000000.0,USD,12613000000.0,101852000000.0,19886000000.0
Citigroup Inc.,C,United States,Banks - Diversified,2024,81089000000.0,USD,12682000000.0,2352945000000.0,-19669000000.0
Citigroup Inc.,C,United States,Banks - Diversified,2023,77024000000.0,USD,9228000000.0,2411834000000.0,-73416000000.0
Citigroup Inc.,C,United States,Banks - Diversified,2022,74480000000.0,USD,14845000000.0,2416676000000.0,25069000000.0
"Cloudflare, Inc.",NET,United States,Software - Infrastructure,2024,1669626000.0,USD,-78800000.0,3301162000.0,380429000.0
"Cloudflare, Inc.",NET,United States,Software - Infrastructure,2023,1296745000.0,USD,-183949000.0,2759767000.0,254406000.0
"Cloudflare, Inc.",NET,United States,Software - Infrastructure,2022,975241000.0,USD,-193381000.0,2587908000.0,123595000.0
"CoStar Group, Inc.",CSGP,United States,Real Estate Services,2024,2736200000.0,USD,138700000.0,9256800000.0,392600000.0
"CoStar Group, Inc.",CSGP,United States,Real Estate Services,2023,2455000000.0,USD,374700000.0,8919700000.0,489500000.0
"CoStar Group, Inc.",CSGP,United States,Real Estate Services,2022,2182400000.0,USD,369500000.0,8402500000.0,478700000.0
"Conagra Brands, Inc.",CAG,United States,Packaged Foods,2025,11612800000.0,USD,1152400000.0,20933900000.0,1691900000.0
"Conagra Brands, Inc.",CAG,United States,Packaged Foods,2024,12050900000.0,USD,347200000.0,20862300000.0,2015600000.0
"Conagra Brands, Inc.",CAG,United States,Packaged Foods,2023,12277000000.0,USD,683600000.0,22052600000.0,995400000.0
ConocoPhillips,COP,United States,Oil & Gas E&P,2024,54745000000.0,USD,9245000000.0,122780000000.0,20124000000.0
ConocoPhillips,COP,United States,Oil & Gas E&P,2023,56141000000.0,USD,10957000000.0,95924000000.0,19965000000.0
ConocoPhillips,COP,United States,Oil & Gas E&P,2022,78494000000.0,USD,18680000000.0,93829000000.0,28314000000.0
"Consolidated Edison, Inc.",ED,United States,Utilities - Regulated Electric,2024,15256000000.0,USD,1820000000.0,70562000000.0,3614000000.0
"Consolidated Edison, Inc.",ED,United States,Utilities - Regulated Electric,2023,14663000000.0,USD,2519000000.0,66331000000.0,2156000000.0
"Consolidated Edison, Inc.",ED,United States,Utilities - Regulated Electric,2022,15670000000.0,USD,1660000000.0,69065000000.0,3935000000.0
"Constellation Brands, Inc.",STZ,United States,Beverages - Brewers,2025,10208700000.0,USD,-81400000.0,21652300000.0,3152200000.0
"Constellation Brands, Inc.",STZ,United States,Beverages - Brewers,2024,9961800000.0,USD,1727400000.0,25691700000.0,2780000000.0
"Constellation Brands, Inc.",STZ,United States,Beverages - Brewers,2023,9452600000.0,USD,-71000000.0,24662300000.0,2756900000.0
"Corteva, Inc.",CTVA,United States,Agricultural Inputs,2024,16908000000.0,USD,907000000.0,40825000000.0,2145000000.0
"Corteva, Inc.",CTVA,United States,Agricultural Inputs,2023,17226000000.0,USD,735000000.0,42996000000.0,1769000000.0
"Corteva, Inc.",CTVA,United States,Agricultural Inputs,2022,17455000000.0,USD,1147000000.0,42618000000.0,872000000.0
